,Transaction_date,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
0,1/1/2019,151201,1.0,49.0,1,12,Basic,2.0,1,0.0,544.04
1,1/1/2019,151202,1.0,63.0,0,30,Basic,1.0,0,1.0,1572.6
2,1/1/2019,151203,,18.0,1,45,Platinum,1.0,1,1.0,1199.79
3,1/1/2019,151204,1.0,27.0,1,6,Basic,2.0,1,0.0,
4,1/3/2019,151205,1.0,71.0,1,10,Basic,0.0,0,1.0,2922.66
5,1/3/2019,151206,0.0,34.0,0,30,Platinum,0.0,0,1.0,1481.42
6,1/3/2019,151207,1.0,37.0,0,6,Basic,1.0,0,1.0,1149.55
7,1/4/2019,151208,1.0,75.0,0,8,Silver,0.0,1,0.0,1046.2
8,1/4/2019,151209,0.0,41.0,0,44,Gold,3.0,1,1.0,2730.6
9,1/4/2019,151210,0.0,56.0,0,4,Basic,0.0,0,0.0,1712.82
10,1/5/2019,151211,0.0,63.0,0,5,Basic,1.0,2,1.0,154.31
11,1/5/2019,151212,0.0,60.0,0,14,Basic,2.0,1,1.0,819.08
12,1/5/2019,151213,1.0,47.0,1,39,Basic,0.0,0,1.0,1719.83
13,1/5/2019,151214,1.0,24.0,0,5,Platinum,2.0,2,1.0,954.12
14,1/6/2019,151215,1.0,16.0,1,31,Platinum,1.0,2,1.0,1005.92
15,1/6/2019,151216,0.0,72.0,0,18,Silver,2.0,0,1.0,2882.77
16,1/7/2019,151217,0.0,77.0,0,30,Platinum,1.0,1,0.0,2999.98
17,1/7/2019,151218,1.0,42.0,0,19,Basic,2.0,2,0.0,1902.73
18,1/8/2019,151219,0.0,46.0,0,24,Basic,0.0,1,1.0,2968.95
19,1/8/2019,151220,0.0,19.0,0,10,Missing,1.0,0,0.0,
20,1/8/2019,151221,1.0,42.0,0,33,Silver,1.0,0,0.0,995.77
21,1/8/2019,151222,0.0,50.0,0,34,Missing,1.0,1,0.0,719.13
22,1/9/2019,151223,1.0,47.0,1,26,Basic,2.0,0,1.0,2407.36
23,1/10/2019,151224,0.0,32.0,1,25,Basic,0.0,0,0.0,2737.41
24,1/11/2019,151225,1.0,25.0,0,13,Basic,2.0,2,1.0,1514.75
25,1/12/2019,151226,1.0,33.0,0,48,Basic,2.0,1,1.0,293.58
26,1/12/2019,151227,1.0,61.0,0,0,Platinum,1.0,1,1.0,1094.67
27,1/12/2019,151228,1.0,75.0,0,0,Basic,2.0,0,1.0,233.05
28,1/12/2019,151229,0.0,62.0,0,13,Silver,0.0,2,1.0,
29,1/12/2019,151230,1.0,17.0,0,18,Basic,0.0,0,1.0,
30,1/13/2019,151231,0.0,21.0,1,25,Basic,0.0,1,0.0,2035.07
31,1/13/2019,151232,1.0,39.0,1,3,Basic,0.0,2,0.0,128.29
32,1/14/2019,151233,1.0,15.0,0,24,Gold,2.0,1,1.0,628.93
33,1/14/2019,151234,0.0,59.0,0,37,Basic,0.0,1,0.0,1729.36
34,1/14/2019,151235,1.0,70.0,0,28,Silver,1.0,2,1.0,2040.29
35,1/14/2019,151236,1.0,75.0,0,46,Platinum,0.0,0,1.0,2744.88
36,1/16/2019,151237,1.0,64.0,0,42,Missing,0.0,0,1.0,351.88
37,1/17/2019,151239,1.0,64.0,0,31,Silver,3.0,0,1.0,2418.62
38,1/17/2019,151240,0.0,21.0,0,16,Basic,1.0,1,0.0,2734.15
39,1/17/2019,151241,0.0,46.0,0,30,Silver,1.0,0,1.0,2851.83
40,1/17/2019,151242,0.0,16.0,1,42,Gold,2.0,0,1.0,938.16
41,1/18/2019,151243,0.0,63.0,0,18,Gold,1.0,0,1.0,281.92
42,1/19/2019,151244,1.0,75.0,1,20,Basic,0.0,0,1.0,747.68
43,1/20/2019,151245,1.0,70.0,0,49,Basic,3.0,1,1.0,1784.15
44,1/20/2019,151246,1.0,41.0,1,16,Missing,0.0,0,1.0,1115.9
45,1/21/2019,151247,1.0,33.0,0,8,Silver,0.0,2,0.0,1902.47
46,1/21/2019,151248,0.0,64.0,1,20,Platinum,2.0,1,1.0,1949.92
47,1/22/2019,151249,0.0,73.0,0,14,Basic,3.0,1,0.0,
48,1/22/2019,151250,0.0,16.0,0,19,Silver,0.0,0,1.0,583.72
49,1/22/2019,151251,1.0,56.0,1,17,Basic,2.0,1,0.0,2445.03
50,1/22/2019,151252,1.0,35.0,0,32,Basic,3.0,0,1.0,1107.96
51,1/23/2019,151253,1.0,51.0,1,16,Basic,2.0,0,1.0,1312.78
52,1/23/2019,151254,1.0,15.0,0,12,Basic,0.0,1,1.0,2690.18
53,1/24/2019,151255,1.0,26.0,1,38,Basic,1.0,0,1.0,2603.22
54,1/25/2019,151256,0.0,67.0,1,14,Gold,0.0,0,1.0,611.7
55,1/25/2019,151257,1.0,71.0,1,20,Gold,0.0,0,1.0,2569.67
56,1/25/2019,151258,0.0,32.0,1,39,Basic,0.0,2,,676.7
57,1/25/2019,151259,1.0,73.0,0,47,Basic,0.0,0,0.0,1397.09
58,1/26/2019,151260,1.0,55.0,0,15,Basic,0.0,2,1.0,1277.64
59,1/26/2019,151261,0.0,72.0,0,14,Silver,3.0,0,,515.77
60,1/26/2019,151262,1.0,15.0,0,39,Basic,2.0,2,1.0,790.1
61,1/27/2019,151263,0.0,63.0,1,42,Gold,0.0,1,1.0,1218.56
62,1/25/2019,151259,1.0,73.0,0,47,Basic,0.0,0,0.0,1397.09
63,1/26/2019,151260,1.0,55.0,0,15,Basic,0.0,2,1.0,1277.64
64,1/26/2019,151261,0.0,72.0,0,14,Silver,3.0,0,,515.77
65,1/26/2019,151262,1.0,15.0,0,39,Basic,2.0,2,1.0,790.1
66,1/27/2019,151263,0.0,63.0,1,42,Gold,0.0,1,1.0,1218.56
67,1/27/2019,151264,1.0,52.0,0,41,Basic,2.0,0,1.0,2850.48
68,1/27/2019,151265,0.0,30.0,1,4,Silver,1.0,1,0.0,1947.2
69,1/29/2019,151266,1.0,24.0,0,5,Platinum,1.0,0,0.0,1731.54
70,1/29/2019,151268,1.0,53.0,0,18,Silver,0.0,1,0.0,
71,1/29/2019,151269,1.0,21.0,0,25,Basic,0.0,0,,340.38
